Date,Open,High,Low,Close,Adj Close,Volume,Close_SPY,Close_DIA,Close_IWM,QQQ 1d movement,SPY 1d movement,DIA 1d movement,IWM 1d movement,9ma,20ma,50ma,100ma,200ma,cross,triple cross,Middle_BB,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD,Signal_Line,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction,Future1M_movement,Future2M_movement,Future15d_movement
2015-01-02,103.76000213623048,104.1999969482422,102.44000244140624,102.94000244140624,95.8312759399414,31314600,205.42999267578125,177.94000244140625,118.93000030517578,,,,,102.94000244140624,102.94000244140624,102.94000244140624,102.94000244140624,102.94000244140624,No Cross,No Cross,,,,,0,0,,,0,0,0.0,0.0,0,0,,,1,1,1,3.953759081306507,2.584025616503105,1.1657246160696744
2015-01-05,102.48999786376952,102.61000061035156,101.13999938964844,101.43000030517578,94.425537109375,36521300,201.72000122070312,174.83999633789062,117.33999633789062,-0.014668759475597981,-0.018059638744832185,-0.017421636849400568,-0.013369242102120427,102.18500137329102,102.18500137329102,102.18500137329102,102.18500137329102,102.18500137329102,No Cross,No Cross,,,,,0,0,,,0,0,-0.12045601086737179,-0.02409120217347436,0,0,,,1,1,1,5.649219500831659,3.568966514532579,0.009861122153553836
2015-01-06,101.58000183105467,101.75,99.62000274658205,100.06999969482422,93.1594696044922,66205500,199.82000732421875,173.38999938964844,115.30999755859376,-0.013408267832590748,-0.009418966314627242,-0.008293279447569635,-0.01730014353717302,101.48000081380208,101.48000081380208,101.48000081380208,101.48000081380208,101.48000081380208,No Cross,No Cross,,,,,0,0,,,0,0,-0.32194773746255123,-0.08366250923128973,0,0,,,1,1,1,7.614672499070796,5.046470537781977,0.8494038939874882
2015-01-07,100.7300033569336,101.5999984741211,100.48999786376952,101.36000061035156,94.36038208007812,37577400,202.30999755859372,175.58999633789062,116.7300033569336,0.01289098550476031,0.01246116576472156,0.012688142084240184,0.012314680673011669,101.45000076293945,101.45000076293945,101.45000076293945,101.45000076293945,101.45000076293945,No Cross,No Cross,,,,,0,0,,,0,0,-0.3732366497960413,-0.14157733734424005,0,0,,,1,1,1,6.9554094409089995,4.558013732006838,0.522887506023495
2015-01-08,102.22000122070312,103.5,102.11000061035156,103.3000030517578,96.16641235351562,40212600,205.8999938964844,178.75999450683594,118.70999908447266,0.01913972405016051,0.017745026845996215,0.018053409847137436,0.016962183419841903,101.82000122070312,101.82000122070312,101.82000122070312,101.82000122070312,101.82000122070312,No Cross,No Cross,,,,,0,0,,,0,0,-0.2544088319417739,-0.16414363626374684,0,0,,,1,1,-1,5.053236628360169,2.420135456092276,-2.129723632761571
2015-01-09,103.62000274658205,103.6500015258789,102.0199966430664,102.62000274658205,95.53338623046876,41410100,204.25,177.22000122070312,117.56999969482422,-0.00658277139483765,-0.008013569428826361,-0.008614865369521607,-0.009603229706347083,101.95333480834961,101.95333480834961,101.95333480834961,101.95333480834961,101.95333480834961,No Cross,No Cross,,,,,0,0,,,0,0,-0.21265590689114333,-0.17384609038922616,0,0,,,1,1,-1,5.82731978901474,3.9173616599813332,-0.6236594937820472
2015-01-12,102.81999969482422,102.93000030517578,101.29000091552734,101.5500030517578,94.53728485107422,34129800,202.6499938964844,176.24000549316406,117.18000030517578,-0.010426814131613171,-0.00783356721427464,-0.0055298257577518495,-0.0033171675653717037,101.89571598597935,101.89571598597935,101.89571598597935,101.89571598597935,101.89571598597935,No Cross,No Cross,,,,,0,0,,,0,0,-0.26287617309796474,-0.1916521069309739,0,0,,,1,1,1,6.676512629784215,5.672077138097409,1.3884746335223852
2015-01-13,102.54000091552734,103.62000274658205,100.6999969482422,101.5199966430664,94.50934600830078,56162300,202.0800018310547,175.97999572753906,117.2699966430664,-0.0002954840747380061,-0.002812692240794612,-0.0014753163726783924,0.0007680179011455568,101.84875106811523,101.84875106811523,101.84875106811523,101.84875106811523,101.84875106811523,No Cross,No Cross,,,,,0,0,,,0,0,-0.3016204692741411,-0.21364577939960736,0,0,,,1,1,1,7.249803835424196,6.13672533780476,1.3297932901457088
2015-01-14,100.5,101.4800033569336,100.06999969482422,100.95999908447266,93.98800659179688,51354200,200.8600006103516,174.05999755859375,116.8000030517578,-0.005516130586200152,-0.006037218970945224,-0.010910320579379684,-0.004007790609384276,101.75000084771051,101.75000084771051,101.75000084771051,101.75000084771051,101.75000084771051,No Cross,No Cross,,,,,0,0,,,0,0,-0.3732105866871933,-0.24555874085712456,0,0,,,1,1,1,7.369257635572324,6.45800745997005,2.773378642183899
2015-01-15,101.43000030517578,101.58999633789062,99.52999877929688,99.6500015258789,92.76844787597656,51005400,199.0200042724609,173.05999755859375,114.83000183105467,-0.012975411751912636,-0.009160591119682815,-0.005745145432760168,-0.016866448366702147,101.38444519042969,101.54000091552734,101.54000091552734,101.54000091552734,101.54000091552734,No Cross,No Cross,,,,,0,0,,,0,0,-0.5295478276628813,-0.3023565582182759,0,0,,,1,1,1,9.764170174159181,7.546408959274831,3.4922184387877753
