,Open,High,Low,Close,Adj Close,Volume
2015-01-02,103.76000213623047,104.19999694824219,102.44000244140625,102.94000244140625,95.8312759399414,31314600
2015-01-05,102.48999786376953,102.61000061035156,101.13999938964844,101.43000030517578,94.425537109375,36521300
2015-01-06,101.58000183105469,101.75,99.62000274658203,100.06999969482422,93.15946960449219,66205500
2015-01-07,100.7300033569336,101.5999984741211,100.48999786376953,101.36000061035156,94.36038208007812,37577400
2015-01-08,102.22000122070312,103.5,102.11000061035156,103.30000305175781,96.16641235351562,40212600
2015-01-09,103.62000274658203,103.6500015258789,102.0199966430664,102.62000274658203,95.53338623046875,41410100
2015-01-12,102.81999969482422,102.93000030517578,101.29000091552734,101.55000305175781,94.53728485107422,34129800
2015-01-13,102.54000091552734,103.62000274658203,100.69999694824219,101.5199966430664,94.50934600830078,56162300
2015-01-14,100.5,101.4800033569336,100.06999969482422,100.95999908447266,93.98800659179688,51354200
2015-01-15,101.43000030517578,101.58999633789062,99.52999877929688,99.6500015258789,92.76844787597656,51005400
2015-01-16,99.5199966430664,100.94999694824219,99.36000061035156,100.81999969482422,93.85765075683594,35362200
2015-01-20,101.43000030517578,101.87999725341797,100.29000091552734,101.62000274658203,94.60240936279297,30964100
2015-01-21,101.31999969482422,102.62000274658203,100.95999908447266,102.13999938964844,95.08651733398438,40128800
2015-01-22,102.54000091552734,104.13999938964844,101.63999938964844,104.02999877929688,96.84603118896484,40887200
2015-01-23,104.0199966430664,104.58000183105469,103.72000122070312,104.26000213623047,97.06010437011719,34783000
2015-01-26,104.13999938964844,104.33000183105469,103.61000061035156,104.13999938964844,96.94840240478516,19960900
2015-01-27,102.5,102.55999755859375,101.0999984741211,101.44000244140625,94.43487548828125,45253200
2015-01-28,103.06999969482422,103.18000030517578,100.9000015258789,100.91999816894531,93.95075225830078,43591700
2015-01-29,100.83999633789062,102.08000183105469,99.95999908447266,101.88999938964844,94.853759765625,46539700
2015-01-30,101.80000305175781,102.58000183105469,100.95999908447266,101.0999984741211,94.11833190917969,42927600
2015-02-02,101.33000183105469,102.06999969482422,99.75,101.9800033569336,94.93757629394531,43624700
2015-02-03,102.3499984741211,103.02999877929688,101.68000030517578,102.95999908447266,95.849853515625,30750400
2015-02-04,102.54000091552734,103.55000305175781,102.30999755859375,102.87000274658203,95.76609802246094,34073200
2015-02-05,103.12999725341797,103.83000183105469,102.87000274658203,103.76000213623047,96.59463500976562,23605500
2015-02-06,103.91999816894531,104.16999816894531,102.76000213623047,103.12999725341797,96.00814819335938,34169300
2015-02-09,102.7300033569336,103.29000091552734,102.55000305175781,102.80000305175781,95.700927734375,22604700
2015-02-10,103.37000274658203,104.54000091552734,103.20999908447266,104.4000015258789,97.19043731689453,23686500
2015-02-11,104.5199966430664,105.0199966430664,104.31999969482422,104.77999877929688,97.54419708251953,20303600
2015-02-12,105.45999908447266,106.04000091552734,105.30000305175781,106.0,98.67998504638672,22520300
2015-02-13,106.30000305175781,106.93000030517578,106.0999984741211,106.91000366210938,99.52711486816406,29030200
2015-02-17,106.91000366210938,107.08000183105469,106.63999938964844,107.01000213623047,99.6202163696289,17675300
