Date,Close,Volume,20ma,50ma,200ma,cross,triple cross,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,high_volumn,Consecutive_Up_Days,Consecutive_Down_Days,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction
2015-01-02,102.94000244140624,31314600,102.94000244140624,102.94000244140624,102.94000244140624,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,0,0,0,1,1,1
2015-01-05,101.43000030517578,36521300,102.18500137329102,102.18500137329102,102.18500137329102,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,1,0,1,1,1,1
2015-01-06,100.06999969482422,66205500,101.48000081380208,101.48000081380208,101.48000081380208,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,1,0,2,1,1,1
2015-01-07,101.36000061035156,37577400,101.45000076293945,101.45000076293945,101.45000076293945,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,0,1,0,1,1,1
2015-01-08,103.3000030517578,40212600,101.82000122070312,101.82000122070312,101.82000122070312,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,0,2,0,1,1,-1
2015-01-09,102.62000274658205,41410100,101.95333480834961,101.95333480834961,101.95333480834961,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,0,0,1,1,1,-1
2015-01-12,101.5500030517578,34129800,101.89571598597935,101.89571598597935,101.89571598597935,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,0,0,2,1,1,1
2015-01-13,101.5199966430664,56162300,101.84875106811523,101.84875106811523,101.84875106811523,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,1,0,3,1,1,1
2015-01-14,100.95999908447266,51354200,101.75000084771051,101.75000084771051,101.75000084771051,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,1,0,4,1,1,1
2015-01-15,99.6500015258789,51005400,101.54000091552734,101.54000091552734,101.54000091552734,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,1,0,5,1,1,1
2015-01-16,100.81999969482422,35362200,101.47454625909978,101.47454625909978,101.47454625909978,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,0,1,0,1,1,1
2015-01-20,101.62000274658205,30964100,101.48666763305664,101.48666763305664,101.48666763305664,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,0,2,0,1,1,1
2015-01-21,102.13999938964844,40128800,101.53692392202524,101.53692392202524,101.53692392202524,No Cross,No Cross,,,,0,0,,,0,0,0,0,,,0,3,0,1,1,1
2015-01-22,104.02999877929688,40887200,101.71500069754464,101.71500069754464,101.71500069754464,No Cross,No Cross,,,,0,0,53.857027463651114,,0,0,1,0,,,0,4,0,1,1,1
2015-01-23,104.26000213623048,34783000,101.8846674601237,101.8846674601237,101.8846674601237,No Cross,No Cross,,,,0,0,54.59609657872867,,0,0,0,0,,,0,5,0,1,1,1
2015-01-26,104.13999938964844,19960900,102.025625705719,102.025625705719,102.025625705719,No Cross,No Cross,,,,0,0,60.4471751553672,,0,0,0,0,,,0,0,1,1,1,1
2015-01-27,101.44000244140624,45253200,101.99117727840648,101.99117727840648,101.99117727840648,No Cross,No Cross,,,,0,0,54.78687019530918,,0,0,0,0,,,1,0,2,1,1,1
2015-01-28,100.91999816894533,43591700,101.93166732788086,101.93166732788086,101.93166732788086,No Cross,No Cross,,,,0,0,48.37517664798204,,0,0,0,0,,,1,0,3,1,1,1
2015-01-29,101.88999938964844,46539700,101.92947427850021,101.92947427850021,101.92947427850021,No Cross,No Cross,,,,0,0,44.39139681568564,,0,0,0,0,,,1,1,0,1,1,1
2015-01-30,101.0999984741211,42927600,101.88800048828125,101.88800048828125,101.88800048828125,No Cross,No Cross,104.47827127380855,99.29772970275395,-0.6084321520074157,0,0,44.00629605161025,,0,0,0,1,,,1,0,1,1,1,1
